jurisdiction,year,prisoner_count,state_population
OREGON,2016,14579,4085989
PENNSYLVANIA,2016,48287,12787085
RHODE ISLAND,2016,2887,1057566
SOUTH CAROLINA,2016,20376,4959822
SOUTH DAKOTA,2016,3770,861542
TENNESSEE,2016,21539,6649404
TEXAS,2016,151276,27904862
UTAH,2016,4502,3044321
VERMONT,2016,1735,623354
VIRGINIA,2016,29882,8414380
WASHINGTON,2016,17228,7280934
WEST VIRGINIA,2016,5899,1828637
WISCONSIN,2016,23163,5772917
WYOMING,2016,2352,584910
