jurisdiction,year,prisoner_count,state_population
DELAWARE,2004,6753,830069
FLORIDA,2004,83165,17385430
GEORGIA,2004,51104,8918129
HAWAII,2004,5555,1262124
IDAHO,2004,5758,1395140
ILLINOIS,2004,44054,12712016
INDIANA,2004,21984,6226537
IOWA,2004,8525,2952904
KANSAS,2004,8991,2733697
KENTUCKY,2004,13322,4141835
LOUISIANA,2004,19470,4506685
MAINE,2004,2013,1314985
MARYLAND,2004,23289,5561332
MASSACHUSETTS,2004,9825,6407382
MICHIGAN,2004,48831,10104206
MINNESOTA,2004,7983,5096546
MISSISSIPPI,2004,16359,2900768
MISSOURI,2004,30682,5759532
MONTANA,2004,2703,926920
NEBRASKA,2004,4137,1747704
NEVADA,2004,11033,2332898
NEW HAMPSHIRE,2004,2443,1299169
NEW JERSEY,2004,25435,8685166
NEW MEXICO,2004,6403,1903006
NEW YORK,2004,64024,19280727
NORTH CAROLINA,2004,35544,8540468
NORTH DAKOTA,2004,1130,636308
OHIO,2004,44150,11450143
OKLAHOMA,2004,22621,3523546
OREGON,2004,12652,3591363
PENNSYLVANIA,2004,40506,12394471
RHODE ISLAND,2004,3169,1079916
SOUTH CAROLINA,2004,22650,4197892
SOUTH DAKOTA,2004,3053,770621
TENNESSEE,2004,19331,5893298
TEXAS,2004,156682,22471549
UTAH,2004,4720,2420708
VERMONT,2004,1968,621233
VIRGINIA,2004,31072,7481332
WASHINGTON,2004,16503,6207046
WEST VIRGINIA,2004,3990,1812548
WISCONSIN,2004,22152,5503533
WYOMING,2004,1765,505887
ALABAMA,2005,24315,4548327
ALASKA,2005,4798,663253
ARIZONA,2005,33345,5953007
ARKANSAS,2005,12455,2775708
CALIFORNIA,2005,168035,36154147
COLORADO,2005,21063,4663295
CONNECTICUT,2005,17928,3500701
DELAWARE,2005,6788,841741
FLORIDA,2005,86559,17768191
GEORGIA,2005,48749,9132553
HAWAII,2005,5739,1273278
IDAHO,2005,6249,1429367
ILLINOIS,2005,44919,12765427
INDIANA,2005,22760,6266019
IOWA,2005,8737,2965524
KANSAS,2005,9090,2748172
KENTUCKY,2005,14904,4172608
LOUISIANA,2005,19371,4507331
MAINE,2005,1970,1318220
MARYLAND,2005,22553,5589599
MASSACHUSETTS,2005,10348,6433367
MICHIGAN,2005,49493,10100833
MINNESOTA,2005,8718,5126739
MISSISSIPPI,2005,16089,2908496
MISSOURI,2005,30415,5797703
MONTANA,2005,2822,934737
NEBRASKA,2005,4405,1758163
NEVADA,2005,11662,2412301
NEW HAMPSHIRE,2005,2423,1306819
NEW JERSEY,2005,25619,8703150
NEW MEXICO,2005,6571,1925985
NEW YORK,2005,63032,19315721
NORTH CAROLINA,2005,36646,8672459
NORTH DAKOTA,2005,1318,634605
OHIO,2005,45189,11470685
OKLAHOMA,2005,22907,3543442
OREGON,2005,12887,3638871
PENNSYLVANIA,2005,41941,12405348
RHODE ISLAND,2005,3414,1073579
SOUTH CAROLINA,2005,22456,4246933
SOUTH DAKOTA,2005,3346,774883
TENNESSEE,2005,19270,5955745
TEXAS,2005,157081,22928508
UTAH,2005,5058,2490334
VERMONT,2005,2078,622387
VIRGINIA,2005,30722,7564327
WASHINGTON,2005,16781,6291899
WEST VIRGINIA,2005,4036,1814083
WISCONSIN,2005,21921,5527644
WYOMING,2005,2096,508798
ALABAMA,2006,24103,4599030
ALASKA,2006,5052,670053
ARIZONA,2006,35752,6166318
ARKANSAS,2006,12854,2810872
CALIFORNIA,2006,172298,36457549
COLORADO,2006,22051,4753377
CONNECTICUT,2006,18902,3504809
DELAWARE,2006,7021,853476
FLORIDA,2006,90377,18089888
GEORGIA,2006,52792,9363941
HAWAII,2006,5510,1285498
IDAHO,2006,6665,1466465
ILLINOIS,2006,45106,12831970
INDIANA,2006,24901,6313520
IOWA,2006,8838,2982085
KANSAS,2006,8833,2764075
KENTUCKY,2006,15589,4206074
LOUISIANA,2006,20815,4287768
MAINE,2006,2083,1321574
MARYLAND,2006,22662,5615727
MASSACHUSETTS,2006,10773,6437193
MICHIGAN,2006,51515,10095643
MINNESOTA,2006,8814,5167101
MISSISSIPPI,2006,16384,2910540
MISSOURI,2006,30116,5842713
MONTANA,2006,2948,944632
NEBRASKA,2006,4399,1768331
NEVADA,2006,12754,2495529
NEW HAMPSHIRE,2006,2676,1314895
NEW JERSEY,2006,25554,8724560
NEW MEXICO,2006,6639,1954599
NEW YORK,2006,63538,19306183
NORTH CAROLINA,2006,37725,8856505
NORTH DAKOTA,2006,1337,635867
OHIO,2006,48482,11478006
OKLAHOMA,2006,22873,3579212
OREGON,2006,13191,3700758
PENNSYLVANIA,2006,43971,12440621
RHODE ISLAND,2006,3713,1067610
SOUTH CAROLINA,2006,22930,4321249
SOUTH DAKOTA,2006,3316,781919
TENNESSEE,2006,19312,6038803
TEXAS,2006,158510,23507783
UTAH,2006,5031,2550063
VERMONT,2006,2215,623908
VIRGINIA,2006,30823,7642884
WASHINGTON,2006,16827,6395798
WEST VIRGINIA,2006,4367,1818470
WISCONSIN,2006,22564,5556506
WYOMING,2006,2035,515004
ALABAMA,2007,25253,4627851
ALASKA,2007,5151,683478
ARIZONA,2007,37700,6338755
ARKANSAS,2007,13275,2834797
CALIFORNIA,2007,171444,36553215
COLORADO,2007,22666,4861515
CONNECTICUT,2007,19438,3502309
DELAWARE,2007,7110,864764
FLORIDA,2007,95187,18251243
GEORGIA,2007,54256,9544750
HAWAII,2007,5457,1283388
IDAHO,2007,7055,1499402
