jurisdiction,year,violent_crime_total,murder_manslaughter,rape_legacy,robbery,agg_assault,property_crime_total,burglary,larceny,vehicle_theft,violent_crime_sum,murder_manslaughter_sum,rape_legacy_sum,robbery_sum,agg_assault_sum,property_crime_sum,burglary_sum,larceny_sum,vehicle_theft_sum,year
DELAWARE,2002,4836,26,358,1154,3298,26967,5355,18555,3057,,,,,,,,,,
FLORIDA,2002,128721,911,6753,32581,88476,777236,177242,511478,88516,,,,,,,,,,
GEORGIA,2002,39271,606,2108,13432,23125,346559,73932,234591,38036,,,,,,,,,,
HAWAII,2002,3262,24,372,1210,1656,71976,12722,49344,9910,,,,,,,,,,
IDAHO,2002,3419,36,497,240,2646,39128,7441,29060,2627,,,,,,,,,,
ILLINOIS,2002,75759,961,4370,25314,45114,430479,81440,304227,44812,,,,,,,,,,
INDIANA,2002,22001,362,1843,6612,13184,208965,42605,146073,20287,,,,,,,,,,
IOWA,2002,8388,44,797,1169,6378,92877,18643,68411,5823,,,,,,,,,,
KANSAS,2002,10229,78,1035,2165,6951,100768,19679,73877,7212,,,,,,,,,,
KENTUCKY,2002,11101,191,1087,3131,6692,108590,26891,72378,9321,,,,,,,,,,
LOUISIANA,2002,29690,593,1529,7123,20445,198838,45350,133302,20186,,,,,,,,,,
MAINE,2002,1396,14,377,270,735,32985,6965,24591,1429,,,,,,,,,,
MARYLAND,2002,42015,513,1370,13417,26715,217105,39765,143320,34020,,,,,,,,,,
MASSACHUSETTS,2002,31137,173,1777,7169,22018,167753,33243,107922,26588,,,,,,,,,,
MICHIGAN,2002,54306,678,5364,11847,36417,335060,70970,214367,49723,,,,,,,,,,
MINNESOTA,2002,13428,112,2273,3937,7106,164026,28034,122150,13842,,,,,,,,,,
MISSISSIPPI,2002,9858,264,1127,3356,5111,109584,29593,70468,9523,,,,,,,,,,
MISSOURI,2002,30557,331,1465,7024,21737,230520,42721,159921,27878,,,,,,,,,,
MONTANA,2002,3197,16,237,283,2661,28751,3289,23679,1783,,,,,,,,,,
NEBRASKA,2002,5428,48,464,1359,3557,68178,10329,51440,6409,,,,,,,,,,
NEVADA,2002,13856,181,928,5118,7629,83896,18951,47459,17486,,,,,,,,,,
NEW HAMPSHIRE,2002,2056,12,446,413,1185,26250,4838,19468,1944,,,,,,,,,,
NEW JERSEY,2002,32252,339,1365,13955,16593,227715,43899,148061,35755,,,,,,,,,,
NEW MEXICO,2002,13719,152,1027,2206,10334,80477,19634,53406,7437,,,,,,,,,,
NEW YORK,2002,95030,909,3885,36653,53583,442091,76700,318025,47366,,,,,,,,,,
NORTH CAROLINA,2002,39118,548,2196,12205,24169,353708,99535,229307,24866,,,,,,,,,,
NORTH DAKOTA,2002,496,5,163,58,270,14762,2243,11501,1018,,,,,,,,,,
OHIO,2002,40128,526,4809,17871,16922,428976,99164,287045,42767,,,,,,,,,,
OKLAHOMA,2002,17587,163,1573,2966,12885,148128,35171,100185,12772,,,,,,,,,,
OREGON,2002,10298,72,1238,2742,6246,161145,25696,118925,16524,,,,,,,,,,
PENNSYLVANIA,2002,49578,624,3731,17163,28060,300868,55610,212441,32817,,,,,,,,,,
RHODE ISLAND,2002,3051,41,395,916,1699,35342,6415,24051,4876,,,,,,,,,,
SOUTH CAROLINA,2002,33761,298,1959,5774,25730,183808,43745,123196,16867,,,,,,,,,,
SOUTH DAKOTA,2002,1350,11,361,117,861,15992,3034,12139,819,,,,,,,,,,
TENNESSEE,2002,41562,420,2290,9413,29439,249399,61248,161610,26541,,,,,,,,,,
TEXAS,2002,126018,1302,8508,37580,78628,1004274,212602,688992,102680,,,,,,,,,,
UTAH,2002,5488,47,943,1140,3358,97641,15124,74795,7722,,,,,,,,,,
VERMONT,2002,658,13,126,77,442,14942,3489,10684,769,,,,,,,,,,
VIRGINIA,2002,21256,388,1839,6961,12068,207783,31757,157548,18478,,,,,,,,,,
WASHINGTON,2002,20964,184,2734,5797,12249,288967,54948,193526,40493,,,,,,,,,,
WEST VIRGINIA,2002,4221,57,328,657,3179,41099,9677,27524,3898,,,,,,,,,,
WISCONSIN,2002,12238,154,1237,4713,6134,164749,27926,123365,13458,,,,,,,,,,
WYOMING,2002,1364,15,148,93,1108,16494,2448,13303,743,,,,,,,,,,
ALABAMA,2003,19331,299,1656,6038,11338,182241,43245,124039,14957,,,,,,,,,,
ALASKA,2003,3877,39,605,446,2787,24386,3874,18051,2461,,,,,,,,,,
ARIZONA,2003,28638,441,1856,7619,18722,314335,58613,198725,56997,,,,,,,,,,
ARKANSAS,2003,12449,180,911,2227,9131,99084,25016,68061,6007,,,,,,,,,,
CALIFORNIA,2003,205551,2407,9994,63770,129380,1215086,242274,731486,241326,,,,,,,,,,
COLORADO,2003,15757,185,1913,3738,9921,179706,32394,124496,22816,,,,,,,,,,
CONNECTICUT,2003,11045,112,698,4212,6023,92981,16043,65568,11370,,,,,,,,,,
DELAWARE,2003,5525,21,370,1441,3693,27943,6066,18933,2944,,,,,,,,,,
FLORIDA,2003,124280,924,6727,31523,85106,757696,170644,505489,81563,,,,,,,,,,
GEORGIA,2003,39435,657,2234,14043,22501,369589,79001,247196,43392,,,,,,,,,,
HAWAII,2003,3400,22,367,1168,1843,65867,11409,44807,9651,,,,,,,,,,
IDAHO,2003,3362,26,535,245,2556,40042,7837,29559,2646,,,,,,,,,,
ILLINOIS,2003,70376,895,4189,23786,41506,415885,78345,295907,41633,,,,,,,,,,
INDIANA,2003,21842,338,1720,6401,13383,208039,41582,145686,20771,,,,,,,,,,
IOWA,2003,8175,50,796,1131,6198,87554,17515,64400,5639,,,,,,,,,,
KANSAS,2003,10831,125,1085,2247,7374,109276,21973,79471,7832,,,,,,,,,,
KENTUCKY,2003,10232,181,1124,3224,5703,103370,26034,69083,8253,,,,,,,,,,
LOUISIANA,2003,28622,584,1601,7008,19429,193698,44572,129471,19655,,,,,,,,,,
MAINE,2003,1422,16,354,289,763,32078,6579,24043,1456,,,,,,,,,,
MARYLAND,2003,38778,525,1358,13302,23593,209418,38641,134372,36405,,,,,,,,,,
MASSACHUSETTS,2003,30377,140,1848,8011,20378,164543,34963,104069,25511,,,,,,,,,,
MICHIGAN,2003,51550,612,5470,11254,34214,330565,68316,208538,53711,,,,,,,,,,
MINNESOTA,2003,13316,127,2092,3906,7191,157663,27698,116216,13749,,,,,,,,,,
MISSISSIPPI,2003,9336,267,1079,3016,4974,106867,29564,68307,8996,,,,,,,,,,
MISSOURI,2003,28067,289,1400,6686,19692,233564,41997,161616,29951,,,,,,,,,,
MONTANA,2003,3351,30,246,298,2777,28428,3722,22800,1906,,,,,,,,,,
NEBRASKA,2003,5105,56,504,1165,3380,65189,10133,48924,6132,,,,,,,,,,
NEVADA,2003,13813,197,871,5225,7520,96128,21958,53321,20849,,,,,,,,,,
NEW HAMPSHIRE,2003,1937,17,438,480,1002,26456,4589,19934,1933,,,,,,,,,,
